ViewerID,ViewerName,Priority,AdmitTime,ChannelID
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V05,Sofia Smith,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V05,Sofia Smith,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
V05,Sofia Smith,1,2025-06-15T00:00,ChannelX
V04,Madison Adams,1,2025-06-15T00:00,ChannelX
